Date,LocationID,Week_days,Daily_trips,1_day_lag,2_days_lag,3_days_lag,4_days_lag,5_days_lag,6_days_lag,7_days_lag,8_days_lag,9_days_lag,10_days_lag
2023-01-17,229,Tuesday,2045,1476.0,1745.0,2197.0,2285.0,2352.0,2283.0,2241.0,1842.0,1600.0,2153.0
2023-01-17,230,Tuesday,3483,2924.0,4069.0,4270.0,3556.0,3743.0,3783.0,3231.0,2462.0,2969.0,3023.0
2023-01-17,231,Tuesday,1292,680.0,973.0,1283.0,1364.0,1566.0,1492.0,1376.0,1073.0,900.0,1302.0
2023-01-17,233,Tuesday,1333,939.0,1004.0,1225.0,1407.0,1478.0,1358.0,1267.0,1149.0,874.0,1099.0
2023-01-17,234,Tuesday,2748,1877.0,2464.0,3135.0,2893.0,3078.0,3175.0,2841.0,2050.0,2012.0,2873.0
2023-01-17,236,Tuesday,4947,3004.0,2732.0,3600.0,4930.0,5597.0,5320.0,5304.0,4587.0,3063.0,4171.0
2023-01-17,237,Tuesday,5210,3414.0,2851.0,3952.0,5069.0,5893.0,5761.0,5583.0,4550.0,2990.0,4291.0
2023-01-17,238,Tuesday,2115,1475.0,1600.0,1807.0,2338.0,2400.0,2360.0,2179.0,2013.0,1710.0,2029.0
2023-01-17,239,Tuesday,2624,2207.0,2675.0,3202.0,3121.0,2927.0,2961.0,2731.0,2536.0,2690.0,3293.0
2023-01-17,246,Tuesday,2349,2212.0,2284.0,2138.0,1415.0,1544.0,1334.0,1160.0,912.0,1170.0,1554.0
2023-01-17,249,Tuesday,1575,1617.0,3324.0,3978.0,2558.0,1997.0,1816.0,1583.0,1286.0,2582.0,3733.0
2023-01-17,261,Tuesday,333,269.0,486.0,550.0,414.0,468.0,401.0,394.0,319.0,325.0,490.0
2023-01-17,262,Tuesday,1397,986.0,986.0,1229.0,1609.0,1630.0,1696.0,1622.0,1399.0,1076.0,1436.0
2023-01-17,263,Tuesday,1793,1580.0,2151.0,2589.0,2451.0,2289.0,2046.0,1955.0,1797.0,2136.0,2656.0
2023-01-18,13,Wednesday,662,546.0,318.0,339.0,420.0,572.0,645.0,683.0,633.0,456.0,278.0
2023-01-18,24,Wednesday,291,274.0,197.0,232.0,278.0,311.0,311.0,300.0,271.0,239.0,225.0
2023-01-18,43,Wednesday,1562,1471.0,1229.0,1399.0,1938.0,1806.0,1696.0,1549.0,1550.0,1376.0,1340.0
2023-01-18,48,Wednesday,2600,2458.0,2178.0,3283.0,3712.0,2966.0,2865.0,2638.0,2501.0,2039.0,2725.0
2023-01-18,50,Wednesday,551,534.0,521.0,573.0,648.0,685.0,632.0,617.0,553.0,464.0,578.0
2023-01-18,68,Wednesday,2524,2513.0,2163.0,2688.0,3128.0,2807.0,2792.0,2549.0,2289.0,1897.0,1953.0
2023-01-18,70,Wednesday,398,483.0,573.0,416.0,354.0,530.0,440.0,410.0,432.0,470.0,410.0
2023-01-18,75,Wednesday,669,688.0,334.0,440.0,506.0,709.0,685.0,666.0,645.0,636.0,479.0
2023-01-18,79,Wednesday,1741,1407.0,1594.0,4365.0,5176.0,2770.0,2023.0,1801.0,1458.0,1221.0,3421.0
2023-01-18,87,Wednesday,519,460.0,291.0,384.0,510.0,515.0,559.0,543.0,446.0,358.0,320.0
2023-01-18,88,Wednesday,267,216.0,134.0,160.0,239.0,239.0,288.0,260.0,238.0,173.0,141.0
